ProjectName,Area,Manager
AuthSamples.FunctionalTests,Security,Andrew
Diagnostics.EFCore.FunctionalTests,Diagnostics,
Diagnostics.FunctionalTests,Diagnostics,
dotnet-microsoft.openapi.Tests,CommandLineTools,
dotnet-user-secrets.Tests,CommandLineTools,
dotnet-watch.Tests,CommandLineTools,
Ignitor.Test,Blazor,Artak
IIS.FunctionalTests,Servers,Andrew
IIS.NewHandler.FunctionalTests,Servers,Andrew
IIS.NewShim.FunctionalTests,Servers,Andrew
IIS.Tests,Servers,Andrew
IISExpress.FunctionalTests,Servers,Andrew
InMemory.FunctionalTests,Servers,Andrew
Libuv.BindTests,Servers,Andrew
Libuv.FunctionalTests,Servers,Andrew
Microsoft.AspNetCore.Antiforgery.Test,MVC,Artak
Microsoft.AspNetCore.ApiAuthorization.IdentityServer.Tests,MVC,Artak
Microsoft.AspNetCore.Authentication.AzureAD.FunctionalTests,Security,Andrew
Microsoft.AspNetCore.Authentication.AzureAD.UI.Test,Security,Andrew
Microsoft.AspNetCore.Authentication.AzureADB2C.UI.Test,Security,Andrew
Microsoft.AspNetCore.Authentication.Core.Test,Security,Andrew
Microsoft.AspNetCore.Authentication.Negotiate.FunctionalTest,Security,Andrew
Microsoft.AspNetCore.Authentication.Negotiate.Test,Security,Andrew
Microsoft.AspNetCore.Authentication.Test,Security,Andrew
Microsoft.AspNetCore.Authorization.Test,Security,Andrew
Microsoft.AspNetCore.AzureAppServicesIntegration.Tests,Azure,Andrew
Microsoft.AspNetCore.Blazor.DataAnnotations.Validation.Tests,Blazor,Artak
Microsoft.AspNetCore.Blazor.HttpClient.Tests,Blazor,Artak
Microsoft.AspNetCore.Blazor.Tests,Blazor,Artak
Microsoft.AspNetCore.Components.Authorization.Tests,Blazor,Artak
Microsoft.AspNetCore.Components.Forms.Tests,Blazor,Artak
Microsoft.AspNetCore.Components.Server.Tests,Blazor,Artak
Microsoft.AspNetCore.Components.Tests,Blazor,Artak
Microsoft.AspNetCore.Components.Web.Tests,Blazor,Artak
Microsoft.AspNetCore.ConcurrencyLimiter.Tests,Middleware,Andrew
Microsoft.AspNetCore.CookiePolicy.Test,Security,Andrew
Microsoft.AspNetCore.Cors.Test,MVC,Artak
Microsoft.AspNetCore.Cryptography.Internal.Tests,Security,Andrew
Microsoft.AspNetCore.Cryptography.KeyDerivation.Tests,Security,Andrew
Microsoft.AspNetCore.DataProtection.Abstractions.Tests,Security,Andrew
Microsoft.AspNetCore.DataProtection.AzureKeyVault.Tests,Security,Andrew
Microsoft.AspNetCore.DataProtection.AzureStorage.Tests,Security,Andrew
Microsoft.AspNetCore.DataProtection.EntityFrameworkCore.Test,Security,Andrew
Microsoft.AspNetCore.DataProtection.Extensions.Tests,Security,Andrew
Microsoft.AspNetCore.DataProtection.StackExchangeRedis.Tests,Security,Andrew
Microsoft.AspNetCore.DataProtection.Tests,Security,Andrew
Microsoft.AspNetCore.DeveloperCertificates.XPlat.Tests,CommandLineTools,
Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore.Tests,Diagnostics,
Microsoft.AspNetCore.Diagnostics.HealthChecks.Tests,HealthChecks,
